counter,frame,x,y,w,h
2,756,463,76,12,10
1,757,365,76,12,10
2,757,467,77,12,10
1,758,364,76,12,10
2,758,464,77,12,10
1,759,361,75,12,10
2,759,467,76,12,10
1,760,363,75,12,10
2,760,468,75,12,10
1,761,365,74,12,10
2,761,470,75,12,10
1,762,364,75,12,10
2,762,470,76,12,10
1,763,363,75,12,10
2,763,469,76,12,10
1,764,364,75,12,10
2,764,470,76,12,10
1,765,365,76,12,10
2,765,466,77,12,10
1,766,366,75,12,10
2,766,467,77,12,10
1,767,366,76,12,10
2,767,467,78,12,10
1,768,366,77,12,10
2,768,467,78,12,10
1,769,368,75,12,10
2,769,469,77,12,10
1,770,368,77,12,10
2,770,469,78,12,10
1,771,367,78,12,10
2,771,469,80,12,10
1,772,368,75,12,10
2,772,469,77,12,10
1,773,369,76,12,10
2,773,470,77,12,10
1,774,368,79,12,10
2,774,470,80,12,10
1,775,369,77,12,10
2,775,471,79,12,10
1,776,370,77,12,10
2,776,471,80,12,10
1,777,367,79,12,10
2,777,469,80,12,10
1,778,371,78,12,10
2,778,472,80,12,10
1,779,370,78,12,10
2,779,472,79,12,10
1,780,369,80,12,10
2,780,471,81,12,10
1,781,371,78,12,10
2,781,472,81,12,10
1,782,369,80,12,10
2,782,472,81,12,10
1,783,370,80,12,10
2,783,472,81,12,10
1,784,371,78,12,10
2,784,474,80,12,10
1,785,370,79,12,10
2,785,472,81,12,10
1,786,370,81,12,10
2,786,472,82,12,10
1,787,372,79,12,10
2,787,474,81,12,10
1,788,372,78,12,10
2,788,474,79,12,10
1,789,371,78,12,10
2,789,474,79,12,10
1,790,373,79,12,10
2,790,475,81,12,10
1,791,373,80,12,10
2,791,474,81,12,10
1,792,371,81,12,10
2,792,474,82,12,10
1,793,373,76,12,10
2,793,476,77,12,10
1,794,371,78,12,10
2,794,474,79,12,10
1,795,368,79,12,10
2,795,476,80,12,10
1,796,371,76,12,10
2,796,478,76,12,10
1,797,369,76,12,10
2,797,478,77,12,10
1,798,371,78,12,10
2,798,478,78,12,10
1,799,369,79,12,10
2,799,477,79,12,10
1,800,368,78,12,10
2,800,476,78,12,10
1,801,372,81,12,10
2,801,475,82,12,10
1,802,374,83,12,10
2,802,477,82,12,10
1,803,373,82,12,10
2,803,476,82,12,10
1,804,374,84,12,10
2,804,477,84,12,10
1,805,371,82,12,10
2,805,475,81,12,10
1,806,372,82,12,10
2,806,476,81,12,10
1,807,374,81,12,10
2,807,477,80,12,10
1,808,375,81,12,10
2,808,478,81,12,10
1,809,372,84,12,10
2,809,476,83,12,10
1,810,375,85,12,10
2,810,479,83,12,10
1,811,374,82,12,10
2,811,477,82,12,10
1,812,373,84,12,10
2,812,477,82,12,10
1,813,376,86,12,10
2,813,480,85,12,10
1,814,376,88,12,10
2,814,480,86,12,10
1,815,376,86,12,10
2,815,480,85,12,10
1,816,377,85,12,10
2,816,481,84,12,10
1,817,375,86,12,10
2,817,480,84,12,10
1,818,375,85,12,10
2,818,479,85,12,10
1,819,376,85,12,10
2,819,481,83,12,10
1,820,377,87,12,10
2,820,481,87,12,10
1,821,376,86,12,10
2,821,480,85,12,10
1,822,376,86,12,10
2,822,480,85,12,10
1,823,376,87,12,10
2,823,480,87,12,10
1,824,377,86,12,10
2,824,483,86,12,10
1,825,377,87,12,10
2,825,482,87,12,10
1,826,377,86,12,10
2,826,481,86,12,10
1,827,378,86,12,10
2,827,483,86,12,10
1,828,376,87,12,10
2,828,482,88,12,10
1,829,378,87,12,10
2,829,482,87,12,10
1,830,376,87,12,10
2,830,485,87,12,10
1,831,373,86,12,10
2,831,483,87,12,10
1,832,377,87,12,10
2,832,487,87,12,10
1,833,377,88,12,10
2,833,486,88,12,10
1,834,375,91,12,10
2,834,487,91,12,10
1,835,377,90,12,10
2,835,486,90,12,10
1,836,376,88,12,10
2,836,487,89,12,10
1,837,379,89,12,10
2,837,485,90,12,10
1,838,379,92,12,10
2,838,485,92,12,10
1,839,380,91,12,10
2,839,485,92,12,10
1,840,380,90,12,10
2,840,485,90,12,10
1,841,378,91,12,10
2,841,484,92,12,10
1,842,379,91,12,10
2,842,485,91,12,10
1,843,378,91,12,10
2,843,484,91,12,10
1,844,378,90,12,10
2,844,484,90,12,10
1,845,378,94,12,10
2,845,485,94,12,10
1,846,379,94,12,10
2,846,486,94,12,10
1,847,379,93,12,10
2,847,485,92,12,10
1,848,379,92,12,10
2,848,485,92,12,10
1,849,380,96,12,10
2,849,487,95,12,10
1,850,379,96,12,10
2,850,486,95,12,10
1,851,380,95,12,10
2,851,486,94,12,10
1,852,381,96,12,10
2,852,487,95,12,10
1,853,381,98,12,10
2,853,489,97,12,10
1,854,382,94,12,10
2,854,488,94,12,10
1,855,381,94,12,10
2,855,488,93,12,10
1,856,380,96,12,10
2,856,488,96,12,10
1,857,381,98,12,10
2,857,487,97,12,10
1,858,381,96,12,10
2,858,489,96,12,10
1,859,381,95,12,10
2,859,488,95,12,10
1,860,380,96,12,10
2,860,487,96,12,10
1,861,382,98,12,10
2,861,489,99,12,10
1,862,382,97,12,10
2,862,490,98,12,10
1,863,382,97,12,10
2,863,490,98,12,10
1,864,382,98,12,10
2,864,490,99,12,10
1,865,383,99,12,10
2,865,490,101,12,10
1,866,380,95,12,10
2,866,492,97,12,10
1,867,381,97,12,10
2,867,493,99,12,10
1,868,380,96,12,10
2,868,493,98,12,10
1,869,381,96,12,10
2,869,494,99,12,10
1,870,379,96,12,10
2,870,493,99,12,10
1,871,380,97,12,10
